#strain  job-ID  checkm-strain-ID
6c  1216    ADJMKHGM
9a5c    1219    PHHKPODB
11399   1222    OKEMGPFB
3124    1221    FHGMJNDJ
32  1220    MOELKAJH
AlmaEM3 1223    FCDGIMKJ
Ann-1a  1224    LLEGHOMH
Ann-1b  1225    KCGNBJNA
ATCC_35871  1226    PCBNEEJJ
ATCC_35879a 1227    NADAJENH
ATCC_35879b 1228    GLGJIEBPH
B111    1229    CIBCDNBP
Bakersfield-1   1230    NMJDPKIE
BB01    1231    BLHFNJDA
BB08-1  1232    PELOAJEJ
BBI64   1233    AOPNINDJ
CCPM1   1234    IIGFEOOK
CFBP7969    1235    KNNDOFMA
CFBP7970    1236    GDMJACNC
CFBP8071    1237    AAKAPDKC
CFBP8072    1238    IKICHMJI
CFBP8073    1239    CKDCPJOD
CFBP8078    1240    LJONADJD
CFBP8082    1241    GKHGNHHM
CFBP8351    1242    LJPOJGAI
CFBP8356    1243    CABPCLKA
CFBP8416    1244    GJCMCGIA
CFBP8417    1245    GOMMOACD
CFBP8418    1246    MMAIIFPE
CO33    1247    FOEDDDIE
CoDiRO  1248    HHMBAHIH
COF0324 1249    CKIDBJHC
COF0407 1250    CGOADEHE
CVC0251 1251    HKCMMCPA
CVC0256 1252    ALGHDEHD
De_Donno    1253    EKCKBMBE
Dixon   1254    NNLHMFLG
DSM_10026   1255    JMHACPEM
EB92.1  1256    HMOGCMBG
ESVL    1257    PPOFINEN
Fb7 1258    IKLFJGIF
Fillmore    1259    CCBKCDBI
GB514   1260    FPLIMMKB
Griffin-1   1262 NGGLPNNK
GV156   1263    HCIAJMJM
GV230   1264    IJNIBGBC
Hib4 1265   NJPBJDCE
IAS-AXF212H7    1266    NHCJAGDL
IAS-AXF-235T10  1267    NJFOODNI
IVIA5235    1268    IAOJPNAO
IVIA5901    1269    MAPKIIBN
IVIA6586-2  1270    LAGNGFMA
IVIA6629    1271    NKOEPBBC
IVIA6731    1272    NJAOOPPB
IVIA6902    1273    HJKDMDMC
IVIA6903    1274    ELGKPIHA
J1a12   1275    ELGKPIHA
KLN59.3_GFP_Temecula1   1276    EHCNMMIM
LM10    1277    ADCEIAIN
M12 1278    EKPHEENN
M23 1279    COGANLDP
MUL0034 1281    GCCIDLJM
Mul-MD  1280    MLPFOBBB
Mus-1   1282    KPKENOAG
NOB1    1283    KEAMLJBA
NS1-CmR_TemeculaL   1284   FOGJCMMP
OK3 1285    JFBIKPMM
OLS0478 1286    NLOMKNCI
OLS0479 1287    LBAHKNGN
PD7202  1288    BOKOLOGA
PD7211  1289    EAMCEACB
pglA-KmR_Fetzer 1290    DCDMKDGN
Pr8x    1291    CKPKJPNM
RAAR14_plum327  1292    EFCDNPAL
RAAR6_Butte 1293    HNNCHNPH
RH1 1294    BIOHADKF
Salento-1   1295    KADCFIOC
Salento-2   1296    KJLBKPDL
Stags_Leap  1298    KONEMLOA
sycamore_Sy-VA  1299    HFPCMKDP
Temecula1   1300    LDJOCEKD
Temecula1Star   1301    BNNEIGKE
TemeculaL   1302    ANPNGJHE
TemL_Alma_Rec1  1303    NDFFGECN
TemL_Alma_Rec2  1304    KNPNGAFB
TemL_NS1pglA_Rec1   1305    GIMGIKIN
TOS14   1306    CPLLCOPJ
TOS4    1307    CNEJILJJ
TOS5    1308    GCBKCHKI
TPD3    1309    DFJBPODA
TPD4    1310    GPFMMHNO
U24D    1311    JMNOIPDA
VB11    1312    IIKJNCDC
WM1-1   1313    PKGBAEGF
WM1-1_GFP_Rec1  1314    NDBDCAIP
WM1-1_GFP_Rec2  1315    EPGEHKFH
Xanthomonas_campestris  1316    DGFEBFEB
Xanthomonas_oryzae  1317    EMMMFGOB
XF3348  1318    AOKCBECB
XRB 1319    GAEGLFIF
XYL1732 1320    ELKMDMIC
XYL1752 1321    GPCAOLHN
XYL1981 1322    DDHHPFIJ
XYL2055 1323    HLKEMLEC
Xylella_taiwanensis 1324    NGCOIKEO
