Database ID	Sequence ID	"Probability
(min. threshold)"	"Predicted
probability"	"Effector
prediction"	Sequence Header	Genome
355276	27	0.9	0.999838	effector	>AAO27935.1 conserved hypothetical protein [Xylella fastidiosa Temecula1]	Temecula1
355303	54	0.9	0.999999	effector	>AAO27962.1 fimbrial subunit precursor [Xylella fastidiosa Temecula1]	Temecula1
355404	155	0.9	1	effector	>AAO28063.1 conserved hypothetical protein [Xylella fastidiosa Temecula1]	Temecula1
355435	186	0.9	0.999556	effector	>AAO28094.1 conserved hypothetical protein [Xylella fastidiosa Temecula1]	Temecula1
355446	197	0.9	0.989373	effector	>AAO28105.1 conserved hypothetical protein [Xylella fastidiosa Temecula1]	Temecula1
355447	198	0.9	0.998021	effector	>AAO28106.1 colicin V precursor [Xylella fastidiosa Temecula1]	Temecula1
355597	348	0.9	0.999985	effector	>AAO28256.1 conserved hypothetical protein [Xylella fastidiosa Temecula1]	Temecula1
355611	362	0.9	1	effector	>AAO28270.1 conserved hypothetical protein [Xylella fastidiosa Temecula1]	Temecula1
355659	410	0.9	0.986812	effector	>AAO28318.1 50S ribosomal protein L23 [Xylella fastidiosa Temecula1]	Temecula1
355670	421	0.9	0.994453	effector	>AAO28329.1 30S ribosomal protein S14 [Xylella fastidiosa Temecula1]	Temecula1
355683	434	0.9	0.987918	effector	>AAO28342.1 conserved hypothetical protein [Xylella fastidiosa Temecula1]	Temecula1
355714	465	0.9	0.999774	effector	>AAO28373.1 conserved hypothetical protein [Xylella fastidiosa Temecula1]	Temecula1
355719	470	0.9	1	effector	>AAO28378.1 conserved hypothetical protein [Xylella fastidiosa Temecula1]	Temecula1
355742	493	0.9	0.994107	effector	>AAO28401.1 conserved hypothetical protein [Xylella fastidiosa Temecula1]	Temecula1
355743	494	0.9	1	effector	>AAO28402.1 cellulose 14-beta-cellobiosidase [Xylella fastidiosa Temecula1]	Temecula1
355770	521	0.9	0.995802	effector	>AAO28429.1 conserved hypothetical protein [Xylella fastidiosa Temecula1]	Temecula1
355829	580	0.9	0.996821	effector	>AAO28488.1 conserved hypothetical protein [Xylella fastidiosa Temecula1]	Temecula1
355851	602	0.9	0.987191	effector	>AAO28510.1 conserved hypothetical protein [Xylella fastidiosa Temecula1]	Temecula1
355941	692	0.9	0.999998	effector	>AAO28600.1 outer membrane protein XadA [Xylella fastidiosa Temecula1]	Temecula1
355954	705	0.9	0.999998	effector	>AAO28613.1 surface protein [Xylella fastidiosa Temecula1]	Temecula1
356003	754	0.9	0.999959	effector	>AAO28662.1 conserved hypothetical protein [Xylella fastidiosa Temecula1]	Temecula1
356033	784	0.9	0.999995	effector	>AAO28692.1 surface protein [Xylella fastidiosa Temecula1]	Temecula1
356127	878	0.9	0.999649	effector	>AAO28786.1 conserved hypothetical protein [Xylella fastidiosa Temecula1]	Temecula1
356128	879	0.9	0.997832	effector	>AAO28787.1 hypothetical protein PD_0922 [Xylella fastidiosa Temecula1]	Temecula1
356141	892	0.9	0.999375	effector	>AAO28800.1 phage-related protein [Xylella fastidiosa Temecula1]	Temecula1
356148	899	0.9	0.998562	effector	>AAO28807.1 conserved hypothetical protein [Xylella fastidiosa Temecula1]	Temecula1
356250	1001	0.9	0.989927	effector	>AAO28909.1 50S ribosomal protein L32 [Xylella fastidiosa Temecula1]	Temecula1
356301	1052	0.9	0.999985	effector	>AAO28960.1 conserved hypothetical protein [Xylella fastidiosa Temecula1]	Temecula1
356315	1066	0.9	0.987021	effector	>AAO28974.1 phage-related protein [Xylella fastidiosa Temecula1]	Temecula1
356319	1070	0.9	0.998569	effector	>AAO28978.1 conserved hypothetical protein [Xylella fastidiosa Temecula1]	Temecula1
356332	1083	0.9	0.998881	effector	>AAO28991.1 phage-related protein [Xylella fastidiosa Temecula1]	Temecula1
356385	1136	0.9	0.997694	effector	>AAO29044.1 phage-related protein [Xylella fastidiosa Temecula1]	Temecula1
356418	1169	0.9	0.995026	effector	>AAO29077.1 conserved hypothetical protein [Xylella fastidiosa Temecula1]	Temecula1
356435	1186	0.9	0.996466	effector	>AAO29094.1 conserved hypothetical protein [Xylella fastidiosa Temecula1]	Temecula1
356473	1224	0.9	0.988278	effector	>AAO29132.1 TonB-dependent receptor [Xylella fastidiosa Temecula1]	Temecula1
356488	1239	0.9	0.999055	effector	>AAO29147.1 conserved hypothetical protein [Xylella fastidiosa Temecula1]	Temecula1
356489	1240	0.9	0.999996	effector	>AAO29148.1 conserved hypothetical protein [Xylella fastidiosa Temecula1]	Temecula1
356537	1288	0.9	0.992088	effector	>AAO29196.1 conjugal transfer protein [Xylella fastidiosa Temecula1]	Temecula1
356568	1319	0.9	1	effector	>AAO29227.1 cold shock protein [Xylella fastidiosa Temecula1]	Temecula1
356595	1346	0.9	0.988214	effector	>AAO29254.1 conserved hypothetical protein [Xylella fastidiosa Temecula1]	Temecula1
356609	1360	0.9	0.997436	effector	>AAO29268.1 conserved hypothetical protein [Xylella fastidiosa Temecula1]	Temecula1
356611	1362	0.9	0.993623	effector	>AAO29270.1 conserved hypothetical protein [Xylella fastidiosa Temecula1]	Temecula1
356714	1465	0.9	0.999954	effector	>AAO29373.1 conserved hypothetical protein [Xylella fastidiosa Temecula1]	Temecula1
356735	1486	0.9	0.986476	effector	>AAO29394.1 TonB-dependent receptor [Xylella fastidiosa Temecula1]	Temecula1
356766	1517	0.9	0.998521	effector	>AAO29425.1 conserved hypothetical protein [Xylella fastidiosa Temecula1]	Temecula1
356851	1602	0.9	0.995058	effector	>AAO29510.1 conserved hypothetical protein [Xylella fastidiosa Temecula1]	Temecula1
